= = = = = = = = = = = = = = = = = = = = = = = = = = = =
= = = = = Regression Benchmarks for Datasets (Part 3) = = = = =
= = = = = = = = = = = = = = = = = = = = = = = = = = = =



= = = = = Group 1 High Row-to-Size Cohort = = = = =
= = = = =  (Computational Efficiency) = = = = =


= = = = = Credit Card Spending Habits In India = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"knn","K Neighbors Regressor","5.527e+04","4.387e+09","6.623e+04","-0.3284","1.099","4.428","0.034"
"xgboost","Extreme Gradient Boosting","5.57e+04","4.498e+09","6.705e+04","-0.3611","1.122","5.178","0.071"
"huber","Huber Regressor","5.639e+04","4.625e+09","6.8e+04","-0.3996","1.141","4.787","0.041"
"par","Passive Aggressive Regressor","6.107e+04","5.59e+09","7.453e+04","-0.6879","1.131","3.728","0.042"
"dt","Decision Tree Regressor","6.683e+04","6.652e+09","8.153e+04","-1.015","1.442","6.18","0.038"



= = = = = QSAR Biodegradation = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"et","Extra Trees Regressor","0.1909","0.0965","0.309","0.5501","0.1262","0.1455","0.057"
"rf","Random Forest Regressor","0.2054","0.0983","0.3123","0.5431","0.1277","0.1557","0.104"
"lightgbm","Light Gradient Boosting Machine","0.2112","0.1023","0.3189","0.5254","0.1306","0.1608","0.159"
"gbr","Gradient Boosting Regressor","0.2213","0.1055","0.324","0.5107","0.1325","0.1683","0.071"
"xgboost","Extreme Gradient Boosting","0.2075","0.1121","0.3341","0.4804","0.137","0.1587","0.073"
"ridge","Ridge Regression","0.2954","0.1291","0.3589","0.4052","0.1508","0.2337","0.012"
"lr","Linear Regression","0.2927","0.1294","0.3593","0.4035","0.151","0.2321","0.008"
"br","Bayesian Ridge","0.3026","0.1296","0.3595","0.4028","0.1501","0.2371","0.008"
"ada","AdaBoost Regressor","0.3295","0.1444","0.3796","0.3346","0.1571","0.261","0.025"
"knn","K Neighbors Regressor","0.2572","0.1509","0.3875","0.3006","0.1594","0.2061","0.009"
"huber","Huber Regressor","0.3029","0.155","0.3911","0.2896","0.1613","0.2361","0.01"
"dt","Decision Tree Regressor","0.191","0.191","0.4354","0.1197","0.1765","0.1456","0.01"
"omp","Orthogonal Matching Pursuit","0.4024","0.1976","0.4438","0.0969","0.1789","0.3065","0.006"
"en","Elastic Net","0.4357","0.2164","0.465","0.0095","0.1893","0.3267","0.008"
"lasso","Lasso Regression","0.4412","0.2208","0.4697","-0.0105","0.1913","0.3309","0.009"
"llar","Lasso Least Angle Regression","0.4412","0.2208","0.4697","-0.0105","0.1913","0.3309","0.008"
"dummy","Dummy Regressor","0.4412","0.2208","0.4697","-0.0105","0.1913","0.3309","0.007"
"par","Passive Aggressive Regressor","0.4587","0.3351","0.5593","-0.5392","0.2397","0.3669","0.006"
"lar","Least Angle Regression","2.984","75.31","4.583","-393.7","0.5721","2.629","0.01"



= = = = = Statlog Heart Dataset = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"lasso","Lasso Regression","14.36","328.9","17.97","0.2571","0.1257","0.1018","0.018"
"llar","Lasso Least Angle Regression","14.36","328.9","17.97","0.2571","0.1257","0.1018","0.019"
"br","Bayesian Ridge","14.5","334.1","18.1","0.2484","0.1267","0.1029","0.016"
"en","Elastic Net","14.77","337.9","18.21","0.2417","0.1275","0.1048","0.021"
"rf","Random Forest Regressor","14.6","340.8","18.31","0.2319","0.1275","0.103","0.058"
"ridge","Ridge Regression","14.32","337.8","18.2","0.2285","0.1274","0.1015","0.02"
"lr","Linear Regression","14.34","339.1","18.23","0.2249","0.1276","0.1016","0.02"
"ada","AdaBoost Regressor","15.21","346.8","18.5","0.2046","0.1286","0.1061","0.04"
"et","Extra Trees Regressor","14.69","358","18.76","0.1888","0.1298","0.1032","0.05"
"lar","Least Angle Regression","14.72","356.6","18.77","0.1624","0.1315","0.1041","0.026"
"gbr","Gradient Boosting Regressor","15.36","365","18.98","0.1616","0.1318","0.1084","0.033"
"lightgbm","Light Gradient Boosting Machine","15.37","371.3","19.16","0.1293","0.1332","0.1078","0.086"
"xgboost","Extreme Gradient Boosting","16.3","416","20.23","0.0527","0.1393","0.113","0.036"
"omp","Orthogonal Matching Pursuit","17.14","444.5","20.77","0.0307","0.1441","0.1213","0.021"
"dummy","Dummy Regressor","17.93","477.5","21.58","-0.0426","0.1495","0.1269","0.018"
"knn","K Neighbors Regressor","19.12","559.2","23.46","-0.2922","0.162","0.1355","0.016"
"huber","Huber Regressor","19.12","576.2","23.7","-0.3523","0.1647","0.1326","0.018"
"dt","Decision Tree Regressor","21.65","699","26.13","-0.5981","0.1806","0.1511","0.017"
"par","Passive Aggressive Regressor","41.41","2665","48.98","-6.086","0.3191","0.288","0.017"



= = = = = Adult Census Income = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"lightgbm","Light Gradient Boosting Machine","7.239","111.6","10.56","0.2646","0.33","0.2872","0.198"
"gbr","Gradient Boosting Regressor","7.273","112.2","10.59","0.2606","0.3322","0.2909","0.452"
"xgboost","Extreme Gradient Boosting","7.586","119","10.9","0.2155","0.3377","0.2963","0.195"
"rf","Random Forest Regressor","7.638","121","11","0.2023","0.3385","0.2982","1.579"
"br","Bayesian Ridge","7.675","121.4","11.01","0.1999","0.3488","0.3166","0.13"
"ridge","Ridge Regression","7.686","121.4","11.02","0.1994","0.3486","0.3164","0.091"
"lr","Linear Regression","7.687","121.5","11.02","0.1992","0.3487","0.3164","0.831"
"ada","AdaBoost Regressor","8.759","137.8","11.73","0.0914","0.3676","0.3617","0.282"
"omp","Orthogonal Matching Pursuit","7.988","139.2","11.79","0.0826","0.3729","0.3475","0.095"
"en","Elastic Net","7.611","140.6","11.85","0.0731","0.3755","0.3426","0.092"
"et","Extra Trees Regressor","8.323","142.2","11.92","0.0622","0.3616","0.3165","1.357"
"lasso","Lasso Regression","7.625","142.9","11.95","0.0582","0.3779","0.3445","0.096"
"llar","Lasso Least Angle Regression","7.625","142.9","11.95","0.0582","0.3779","0.3445","0.095"
"huber","Huber Regressor","7.757","150.9","12.28","0.0057","0.3832","0.3484","0.338"
"dummy","Dummy Regressor","7.725","151.8","12.32","-0.0003","0.3859","0.3496","0.091"
"knn","K Neighbors Regressor","9.404","174.5","13.21","-0.151","0.4019","0.3907","0.119"
"dt","Decision Tree Regressor","10.16","224.2","14.97","-0.4781","0.4602","0.3616","0.13"
"par","Passive Aggressive Regressor","31.43","2006","41.56","-12.44","0.7798","1.061","0.118"



= = = = = Student Alcohol Consumption (Mat) = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"gbr","Gradient Boosting Regressor","1.122","3.111","1.734","0.8318","0.4087","0.096","0.051"
"rf","Random Forest Regressor","1.115","3.189","1.754","0.8233","0.4327","0.0909","0.082"
"ada","AdaBoost Regressor","1.162","3.246","1.774","0.8169","0.4475","0.0927","0.053"
"en","Elastic Net","1.108","3.726","1.871","0.8077","0.4655","0.0758","0.041"
"lasso","Lasso Regression","1.1","3.757","1.872","0.8074","0.4675","0.0743","0.042"
"llar","Lasso Least Angle Regression","1.1","3.758","1.872","0.8074","0.4675","0.0743","0.041"
"lightgbm","Light Gradient Boosting Machine","1.29","3.525","1.857","0.8054","0.4247","0.1152","0.108"
"omp","Orthogonal Matching Pursuit","1.166","3.787","1.899","0.8019","0.4788","0.0844","0.042"
"br","Bayesian Ridge","1.222","3.846","1.921","0.7973","0.4724","0.0909","0.053"
"huber","Huber Regressor","1.094","4.012","1.919","0.795","0.4696","0.073","0.054"
"et","Extra Trees Regressor","1.2","3.869","1.923","0.7941","0.4556","0.0939","0.085"
"xgboost","Extreme Gradient Boosting","1.117","3.686","1.896","0.7938","0.441","0.0935","0.05"
"knn","K Neighbors Regressor","1.331","4","1.951","0.7736","0.434","0.1122","0.048"
"ridge","Ridge Regression","1.367","4.298","2.041","0.7727","0.4866","0.1056","0.045"
"lr","Linear Regression","1.381","4.34","2.052","0.7704","0.4875","0.1071","0.049"
"dt","Decision Tree Regressor","1.263","4.923","2.124","0.7218","0.4301","0.1209","0.047"
"par","Passive Aggressive Regressor","2.378","11.32","3.016","0.4847","0.5618","0.2168","0.067"
"dummy","Dummy Regressor","3.336","20.05","4.439","-0.0524","0.756","0.2374","0.036"
"lar","Least Angle Regression","1.027e+06","1.424e+13","1.195e+06","-8.324e+11","2.813","1.078e+05","0.048"



= = = = = Student Alcohol Consumption (Por) = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"en","Elastic Net","0.7872","1.792","1.276","0.8283","0.2571","0.0577","0.04"
"huber","Huber Regressor","0.8086","1.77","1.274","0.828","0.2518","0.0606","0.05"
"omp","Orthogonal Matching Pursuit","0.8187","1.743","1.27","0.8279","0.2411","0.063","0.044"
"br","Bayesian Ridge","0.8228","1.775","1.28","0.8252","0.2445","0.063","0.043"
"rf","Random Forest Regressor","0.8454","1.746","1.275","0.825","0.2426","0.0678","0.102"
"lasso","Lasso Regression","0.8136","1.83","1.298","0.822","0.2544","0.0612","0.043"
"llar","Lasso Least Angle Regression","0.8136","1.83","1.298","0.822","0.2544","0.0612","0.042"
"ridge","Ridge Regression","0.8568","1.855","1.316","0.8153","0.2446","0.0665","0.041"
"lr","Linear Regression","0.8593","1.861","1.318","0.8146","0.2447","0.0668","0.041"
"et","Extra Trees Regressor","0.8574","1.917","1.327","0.8091","0.2424","0.0688","0.098"
"xgboost","Extreme Gradient Boosting","0.8443","1.974","1.347","0.8039","0.2602","0.0682","0.057"
"gbr","Gradient Boosting Regressor","0.8653","2.009","1.359","0.8027","0.2568","0.0686","0.063"
"lightgbm","Light Gradient Boosting Machine","0.9121","1.948","1.355","0.7995","0.2487","0.0748","0.148"
"ada","AdaBoost Regressor","0.9151","2.021","1.379","0.7951","0.247","0.0746","0.061"
"knn","K Neighbors Regressor","0.9449","2.121","1.417","0.7865","0.2516","0.075","0.044"
"par","Passive Aggressive Regressor","1.214","2.945","1.624","0.6823","0.2647","0.0971","0.043"
"dt","Decision Tree Regressor","1.064","3.448","1.803","0.6274","0.3461","0.0911","0.043"
"dummy","Dummy Regressor","2.406","10.58","3.207","-0.1033","0.4135","0.1858","0.045"
"lar","Least Angle Regression","3390","1.51e+08","3907","-2.583e+07","1.248","276","0.045"



= = = = = Weather Dataset (Humidity) = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"knn","K Neighbors Regressor","6.553","80.56","8.972","0.7837","0.1539","0.1147","0.047"
"omp","Orthogonal Matching Pursuit","9.728","154.7","12.44","0.5847","0.2123","0.1718","0.033"
"huber","Huber Regressor","10.28","167.9","12.96","0.5488","0.224","0.186","0.203"
"par","Passive Aggressive Regressor","10.73","182.9","13.51","0.5089","0.2335","0.1991","0.042"
"en","Elastic Net","14.54","297","17.23","0.2025","0.3001","0.2731","0.04"
"lasso","Lasso Regression","15.93","355.6","18.86","0.0452","0.3245","0.3","0.054"
"llar","Lasso Least Angle Regression","15.93","355.6","18.86","0.0452","0.3245","0.3","0.037"
"et","Extra Trees Regressor","16.3","372.1","19.29","0.0008","0.3308","0.3069","0.389"
"rf","Random Forest Regressor","16.3","372.6","19.3","-0.0004","0.331","0.307","1.058"
"lightgbm","Light Gradient Boosting Machine","16.3","372.6","19.3","-0.0004","0.331","0.307","0.233"
"dt","Decision Tree Regressor","16.3","372.6","19.3","-0.0004","0.331","0.307","0.058"
"gbr","Gradient Boosting Regressor","16.3","372.6","19.3","-0.0004","0.331","0.307","0.919"
"ridge","Ridge Regression","16.3","372.6","19.3","-0.0004","0.3311","0.3072","0.041"
"lr","Linear Regression","16.3","372.6","19.3","-0.0005","0.3311","0.3072","0.052"
"lar","Least Angle Regression","16.3","372.6","19.3","-0.0005","0.3311","0.3072","0.036"
"br","Bayesian Ridge","16.3","372.6","19.3","-0.0005","0.3311","0.3072","0.048"
"dummy","Dummy Regressor","16.3","372.6","19.3","-0.0005","0.3311","0.3072","0.032"
"ada","AdaBoost Regressor","16.3","372.7","19.3","-0.0006","0.3318","0.3086","0.363"
"xgboost","Extreme Gradient Boosting","16.32","372.9","19.31","-0.0014","0.3307","0.3063","0.131"



= = = = = Weather Dataset (Pressure) = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"knn","K Neighbors Regressor","2.776","34.56","5.871","0.7828","0.0058","0.0028","0.047"
"omp","Orthogonal Matching Pursuit","5.496","92.56","9.61","0.417","0.0096","0.0055","0.035"
"huber","Huber Regressor","4.62","93.18","9.644","0.4139","0.0096","0.0046","0.196"
"en","Elastic Net","7.341","112.7","10.61","0.2905","0.0105","0.0073","0.036"
"lasso","Lasso Regression","8.685","150","12.24","0.0555","0.0121","0.0086","0.039"
"llar","Lasso Least Angle Regression","8.685","150","12.24","0.0555","0.0121","0.0086","0.034"
"et","Extra Trees Regressor","8.964","156.8","12.52","0.013","0.0124","0.0089","0.331"
"ridge","Ridge Regression","9.004","158.9","12.6","-0.0006","0.0125","0.0089","0.034"
"br","Bayesian Ridge","9.005","158.9","12.6","-0.0007","0.0125","0.0089","0.043"
"lightgbm","Light Gradient Boosting Machine","8.972","158.9","12.6","-0.0007","0.0125","0.0089","0.22"
"lr","Linear Regression","9.005","158.9","12.6","-0.0007","0.0125","0.0089","0.033"
"lar","Least Angle Regression","9.005","158.9","12.6","-0.0007","0.0125","0.0089","0.036"
"dummy","Dummy Regressor","9.005","158.9","12.6","-0.0007","0.0125","0.0089","0.036"
"dt","Decision Tree Regressor","8.972","158.9","12.6","-0.0008","0.0125","0.0089","0.045"
"rf","Random Forest Regressor","8.972","158.9","12.6","-0.0008","0.0125","0.0089","0.741"
"gbr","Gradient Boosting Regressor","8.972","158.9","12.6","-0.0008","0.0125","0.0089","0.655"
"xgboost","Extreme Gradient Boosting","9.153","159.6","12.63","-0.0049","0.0125","0.0091","0.111"
"ada","AdaBoost Regressor","8.89","160.1","12.65","-0.0083","0.0125","0.0088","0.199"
"par","Passive Aggressive Regressor","9.387","203","12.39","-0.2906","0.0123","0.0093","0.062"



= = = = = Weather Dataset (Temperature) = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"knn","K Neighbors Regressor","0.987","1.855","1.361","0.9809","0.0048","0.0035","0.053"
"en","Elastic Net","1.106","2.497","1.578","0.9742","0.0055","0.0039","0.037"
"huber","Huber Regressor","1.124","2.512","1.582","0.9741","0.0055","0.004","0.215"
"lasso","Lasso Regression","1.113","2.528","1.588","0.9739","0.0056","0.0039","0.044"
"llar","Lasso Least Angle Regression","1.113","2.527","1.587","0.9739","0.0056","0.0039","0.036"
"omp","Orthogonal Matching Pursuit","1.131","2.643","1.623","0.9727","0.0057","0.004","0.039"
"par","Passive Aggressive Regressor","2.093","7.062","2.485","0.9264","0.0087","0.0074","0.062"
"et","Extra Trees Regressor","7.239","70.8","8.413","0.2704","0.0296","0.0256","1.151"
"ridge","Ridge Regression","8.224","96.66","9.831","0.004","0.0346","0.029","0.051"
"xgboost","Extreme Gradient Boosting","8.231","96.83","9.839","0.0022","0.0346","0.0291","0.25"
"gbr","Gradient Boosting Regressor","8.231","96.87","9.841","0.0018","0.0346","0.0291","1.873"
"lightgbm","Light Gradient Boosting Machine","8.237","96.95","9.845","0.001","0.0346","0.0291","0.225"
"dt","Decision Tree Regressor","8.245","97.16","9.856","-0.0012","0.0347","0.0291","0.1"
"lr","Linear Regression","8.246","97.17","9.857","-0.0013","0.0347","0.0291","0.047"
"br","Bayesian Ridge","8.246","97.17","9.857","-0.0013","0.0347","0.0291","0.042"
"rf","Random Forest Regressor","8.246","97.17","9.857","-0.0013","0.0347","0.0291","3.542"
"dummy","Dummy Regressor","8.246","97.17","9.857","-0.0013","0.0347","0.0291","0.03"
"ada","AdaBoost Regressor","8.251","99.09","9.953","-0.0211","0.0349","0.029","0.604"
"lar","Least Angle Regression","8.57","105.7","10.27","-0.0906","0.0361","0.0303","0.035"



= = = = = Weather Dataset (Direction) = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"knn","K Neighbors Regressor","60.48","7423","86.14","0.361","1.232","1.173","0.064"
"omp","Orthogonal Matching Pursuit","62.45","7631","87.34","0.3432","1.257","1.29","0.045"
"huber","Huber Regressor","64.05","8310","91.14","0.2848","1.288","1.401","0.212"
"en","Elastic Net","91.43","1.159e+04","107.7","0.0023","1.384","1.697","0.046"
"lasso","Lasso Regression","91.56","1.162e+04","107.8","-0.0003","1.385","1.699","0.041"
"llar","Lasso Least Angle Regression","91.57","1.162e+04","107.8","-0.0003","1.385","1.699","0.04"
"ridge","Ridge Regression","91.59","1.163e+04","107.8","-0.0008","1.385","1.699","0.048"
"gbr","Gradient Boosting Regressor","91.58","1.163e+04","107.8","-0.0008","1.385","1.7","1.261"
"br","Bayesian Ridge","91.59","1.163e+04","107.8","-0.0008","1.385","1.699","0.045"
"lr","Linear Regression","91.59","1.163e+04","107.8","-0.0008","1.385","1.699","0.047"
"lar","Least Angle Regression","91.59","1.163e+04","107.8","-0.0008","1.385","1.699","0.046"
"dummy","Dummy Regressor","91.59","1.163e+04","107.8","-0.0008","1.385","1.699","0.04"
"dt","Decision Tree Regressor","91.58","1.163e+04","107.8","-0.0009","1.385","1.7","0.085"
"rf","Random Forest Regressor","91.58","1.163e+04","107.8","-0.0009","1.385","1.7","2.366"
"xgboost","Extreme Gradient Boosting","91.65","1.163e+04","107.8","-0.0009","1.385","1.697","0.284"
"lightgbm","Light Gradient Boosting Machine","91.59","1.163e+04","107.8","-0.0009","1.385","1.699","0.337"
"et","Extra Trees Regressor","91.6","1.163e+04","107.9","-0.0011","1.385","1.699","0.692"
"ada","AdaBoost Regressor","93.05","1.169e+04","108.1","-0.0064","1.373","1.639","0.131"
"par","Passive Aggressive Regressor","97.2","1.435e+04","118.5","-0.2358","1.407","1.382","0.054"



= = = = = Weather Dataset (Wind Speed) = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"knn","K Neighbors Regressor","1.204","2.749","1.658","0.5445","0.445","0.4222","0.062"
"omp","Orthogonal Matching Pursuit","1.451","3.667","1.914","0.3933","0.5053","0.5374","0.044"
"en","Elastic Net","1.492","3.816","1.953","0.3686","0.5142","0.5587","0.043"
"lasso","Lasso Regression","1.534","4.018","2.004","0.3354","0.5252","0.5778","0.043"
"llar","Lasso Least Angle Regression","1.534","4.018","2.004","0.3354","0.5252","0.5778","0.039"
"par","Passive Aggressive Regressor","1.885","5.962","2.441","0.0136","0.608","0.7218","0.062"
"ridge","Ridge Regression","1.892","6.042","2.457","0.0005","0.61","0.7214","0.041"
"br","Bayesian Ridge","1.893","6.048","2.459","-0.0006","0.6103","0.7219","0.048"
"huber","Huber Regressor","1.893","6.048","2.459","-0.0006","0.6103","0.7218","0.278"
"lar","Least Angle Regression","1.893","6.048","2.459","-0.0006","0.6103","0.7219","0.042"
"lr","Linear Regression","1.893","6.048","2.459","-0.0006","0.6103","0.7219","0.042"
"dummy","Dummy Regressor","1.893","6.048","2.459","-0.0006","0.6103","0.7219","0.039"
"et","Extra Trees Regressor","1.905","6.082","2.466","-0.0063","0.613","0.7296","0.251"
"lightgbm","Light Gradient Boosting Machine","1.807","6.165","2.482","-0.0199","0.5934","0.6257","0.244"
"dt","Decision Tree Regressor","1.807","6.174","2.484","-0.0213","0.5935","0.6256","0.045"
"rf","Random Forest Regressor","1.807","6.174","2.484","-0.0213","0.5935","0.6256","0.377"
"ada","AdaBoost Regressor","1.807","6.174","2.484","-0.0213","0.5935","0.6256","0.367"
"gbr","Gradient Boosting Regressor","1.807","6.174","2.484","-0.0213","0.5935","0.6257","0.572"
"xgboost","Extreme Gradient Boosting","1.807","6.174","2.484","-0.0213","0.5935","0.6256","0.095"



= = = = = Group 3 The Messy Data Cohort = = = = =
= = = = = (Data Efficiency) = = = = =

= = = = = Air Quality Data In India (City Day) = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"et","Extra Trees Regressor","16.1","1657","39.81","0.9311","0.1225","0.0923","1.013"
"rf","Random Forest Regressor","16.63","1817","41.67","0.9248","0.1253","0.0944","2.5"
"lightgbm","Light Gradient Boosting Machine","17.96","1966","43.43","0.9189","0.1391","0.1082","0.164"
"gbr","Gradient Boosting Regressor","19.45","2009","43.98","0.9166","0.1566","0.1223","0.782"
"lr","Linear Regression","23.39","2329","47.62","0.9022","0.1906","0.1506","0.824"
"ridge","Ridge Regression","23.39","2330","47.63","0.9022","0.1906","0.1507","0.045"
"br","Bayesian Ridge","23.39","2330","47.63","0.9022","0.1906","0.1507","0.056"
"xgboost","Extreme Gradient Boosting","18.15","2417","47.99","0.8998","0.1365","0.1025","0.159"
"lasso","Lasso Regression","25.96","2618","50.47","0.8899","0.2238","0.1803","0.056"
"llar","Lasso Least Angle Regression","26.43","2695","51.08","0.8867","0.2295","0.1852","0.045"
"dt","Decision Tree Regressor","22.14","3114","54.85","0.8688","0.1732","0.1278","0.087"
"knn","K Neighbors Regressor","27.37","3381","57.89","0.8569","0.2404","0.1728","0.049"
"en","Elastic Net","31.83","3429","57.93","0.8553","0.2746","0.2243","0.044"
"huber","Huber Regressor","29.04","3536","58.72","0.8505","0.2479","0.1885","0.213"
"ada","AdaBoost Regressor","45.21","4437","66.32","0.8122","0.4596","0.482","0.285"
"par","Passive Aggressive Regressor","40.09","4504","66.64","0.8077","0.3433","0.2717","0.071"
"omp","Orthogonal Matching Pursuit","55.8","1.163e+04","107.5","0.5085","0.4193","0.3672","0.043"
"dummy","Dummy Regressor","98.98","2.362e+04","153.5","-0.0008","0.7201","0.8344","0.035"
"lar","Least Angle Regression","1.03e+04","2.445e+09","2.196e+04","-1.178e+05","2.371","116.7","0.044"



= = = = = Air Quality Data In India (City Hour) = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"par","Passive Aggressive Regressor","82.05","2.919e+04","169.8","0.5128","0.3978","0.2967","0.036"
"huber","Huber Regressor","75.98","3.133e+04","175.7","0.4755","0.4","0.2793","0.054"
"knn","K Neighbors Regressor","106.4","3.703e+04","191.6","0.3775","0.503","0.4685","0.032"
"et","Extra Trees Regressor","99.53","3.894e+04","196.6","0.348","0.4105","0.352","0.146"
"lightgbm","Light Gradient Boosting Machine","143.7","5.933e+04","243","0.0022","0.5993","0.5905","0.152"
"xgboost","Extreme Gradient Boosting","143.5","5.939e+04","243.2","0.001","0.5991","0.5883","0.1"
"en","Elastic Net","143.8","5.95e+04","243.4","-0.0009","0.6001","0.5902","0.031"
"gbr","Gradient Boosting Regressor","143.7","5.953e+04","243.5","-0.0014","0.5998","0.5888","0.339"
"omp","Orthogonal Matching Pursuit","143.9","5.955e+04","243.5","-0.0017","0.6004","0.5905","0.032"
"lar","Least Angle Regression","143.9","5.955e+04","243.5","-0.0017","0.6004","0.5905","0.03"
"ridge","Ridge Regression","143.9","5.955e+04","243.5","-0.0017","0.6004","0.5905","0.028"
"lasso","Lasso Regression","143.9","5.955e+04","243.5","-0.0017","0.6004","0.5905","0.032"
"llar","Lasso Least Angle Regression","143.9","5.955e+04","243.5","-0.0017","0.6004","0.5905","0.029"
"lr","Linear Regression","143.9","5.955e+04","243.5","-0.0017","0.6004","0.5905","0.031"
"dummy","Dummy Regressor","143.9","5.955e+04","243.5","-0.0017","0.6004","0.5905","0.031"
"dt","Decision Tree Regressor","143.9","5.956e+04","243.5","-0.0018","0.6003","0.5903","0.038"
"rf","Random Forest Regressor","143.8","5.955e+04","243.5","-0.0018","0.6002","0.5898","0.535"
"ada","AdaBoost Regressor","147.6","5.964e+04","243.7","-0.0034","0.6087","0.6177","0.112"
"br","Bayesian Ridge","2905","4.769e+07","4826","-848.6","2.071","10.5","0.035"



= = = = = Air Quality Data In India (Station Day) = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"rf","Random Forest Regressor","16.54","707.8","26.57","0.9631","0.1115","0.0846","2.111"
"et","Extra Trees Regressor","16.61","718.6","26.77","0.9625","0.1096","0.0841","0.994"
"lightgbm","Light Gradient Boosting Machine","17.44","790.3","28.06","0.9587","0.1203","0.0915","0.183"
"gbr","Gradient Boosting Regressor","19.22","882.3","29.67","0.9539","0.1357","0.1049","0.734"
"xgboost","Extreme Gradient Boosting","17.8","882.2","29.64","0.9539","0.1206","0.091","0.155"
"lr","Linear Regression","21.49","1030","32.05","0.9463","0.1449","0.1149","0.039"
"ridge","Ridge Regression","21.49","1031","32.07","0.9462","0.1452","0.115","0.037"
"br","Bayesian Ridge","21.49","1031","32.06","0.9462","0.1451","0.1149","0.042"
"dt","Decision Tree Regressor","21.82","1245","35.23","0.935","0.1506","0.1118","0.078"
"llar","Lasso Least Angle Regression","25.27","1360","36.84","0.929","0.1983","0.1536","0.039"
"lasso","Lasso Regression","25.27","1360","36.84","0.929","0.1983","0.1536","0.041"
"ada","AdaBoost Regressor","30.95","1585","39.79","0.9172","0.2909","0.2434","0.296"
"knn","K Neighbors Regressor","25.53","1640","40.48","0.9144","0.1862","0.1357","0.051"
"huber","Huber Regressor","33.13","2410","49.04","0.8742","0.2343","0.1859","0.202"
"en","Elastic Net","35.58","2476","49.74","0.8707","0.2574","0.2122","0.046"
"omp","Orthogonal Matching Pursuit","38.22","2740","52.33","0.857","0.2734","0.2286","0.039"
"par","Passive Aggressive Regressor","60.4","7860","78.89","0.5776","0.3449","0.3347","0.059"
"dummy","Dummy Regressor","113.6","1.92e+04","138.5","-0.0019","0.6878","0.8153","0.04"
"lar","Least Angle Regression","3.103e+07","1.632e+16","4.04e+07","-8.528e+11","1.756","2.051e+05","0.042"



= = = = = Air Quality Data In India (Station Hour) = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"par","Passive Aggressive Regressor","23.32","887.6","29.55","0.7537","0.3018","0.2972","0.071"
"knn","K Neighbors Regressor","24.58","1190","34.48","0.6684","0.3485","0.3063","0.05"
"omp","Orthogonal Matching Pursuit","29.33","1647","40.58","0.5409","0.3668","0.322","0.041"
"huber","Huber Regressor","21.42","1758","40.63","0.5092","0.2758","0.2329","0.133"
"et","Extra Trees Regressor","39.4","2413","49.11","0.3278","0.4669","0.4812","0.19"
"en","Elastic Net","45.57","3458","58.78","0.0372","0.5588","0.5847","0.039"
"rf","Random Forest Regressor","46","3573","59.75","0.0054","0.5657","0.5881","0.797"
"lasso","Lasso Regression","46.36","3576","59.78","0.0045","0.5677","0.595","0.039"
"llar","Lasso Least Angle Regression","46.36","3576","59.78","0.0043","0.5677","0.595","0.039"
"gbr","Gradient Boosting Regressor","46.31","3588","59.88","0.0009","0.568","0.5937","0.532"
"xgboost","Extreme Gradient Boosting","46.36","3596","59.94","-0.0011","0.5678","0.5924","0.131"
"ridge","Ridge Regression","46.49","3596","59.95","-0.0012","0.5692","0.5968","0.04"
"lr","Linear Regression","46.5","3596","59.95","-0.0013","0.5692","0.5968","0.043"
"lar","Least Angle Regression","46.5","3596","59.95","-0.0013","0.5692","0.5968","0.051"
"br","Bayesian Ridge","46.5","3596","59.95","-0.0013","0.5692","0.5968","0.044"
"dummy","Dummy Regressor","46.5","3596","59.95","-0.0013","0.5692","0.5968","0.041"
