= = = = = = = = = = = = = = = = = = = = = = = = = = = =
= = = = = Regression Benchmarks for Datasets = = = = =
= = = = = = = = = = = = = = = = = = = = = = = = = = = =



= = = = = Group 1 High Row-to-Size Cohort = = = = =
= = = = =  (Computational Efficiency) = = = = =


= = = = = Concrete Compressive Strength = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"ada","AdaBoost Regressor","3.328","20.22","4.479","0.4577","0.0022","0.0017","0.106"
"br","Bayesian Ridge","3.392","20.35","4.5","0.453","0.0022","0.0017","0.063"
"ridge","Ridge Regression","3.393","20.36","4.502","0.4526","0.0022","0.0017","0.072"
"lar","Least Angle Regression","3.393","20.37","4.503","0.4524","0.0022","0.0017","0.06"
"lr","Linear Regression","3.393","20.38","4.503","0.4523","0.0022","0.0017","0.059"
"gbr","Gradient Boosting Regressor","3.256","20.57","4.518","0.4485","0.0022","0.0016","0.146"
"et","Extra Trees Regressor","3.32","21.05","4.573","0.4347","0.0023","0.0016","0.182"
"lightgbm","Light Gradient Boosting Machine","3.296","21.32","4.604","0.4271","0.0023","0.0016","0.171"
"xgboost","Extreme Gradient Boosting","3.315","21.45","4.618","0.4235","0.0023","0.0016","0.103"
"rf","Random Forest Regressor","3.414","22.47","4.726","0.3964","0.0023","0.0017","0.258"
"huber","Huber Regressor","3.553","22.46","4.727","0.3953","0.0023","0.0018","0.078"
"omp","Orthogonal Matching Pursuit","3.651","23.6","4.851","0.3632","0.0024","0.0018","0.057"
"dt","Decision Tree Regressor","3.578","25.03","4.987","0.3276","0.0025","0.0018","0.06"
"dummy","Dummy Regressor","4.833","37.21","6.093","-0.0031","0.003","0.0024","0.048"
"par","Passive Aggressive Regressor","4.656","39.28","6.218","-0.0748","0.0031","0.0023","0.072"



= = = = = Ecommerce Customers = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"huber","Huber Regressor","21.63","773.1","27.54","0.8672","0.0621","0.045","0.033"
"lightgbm","Light Gradient Boosting Machine","56.59","5361","72.87","0.0952","0.1513","0.12","0.074"
"et","Extra Trees Regressor","59.78","6092","77.63","-0.0254","0.1605","0.1266","0.062"
"knn","K Neighbors Regressor","59.73","6071","77.57","-0.0259","0.1603","0.1263","0.03"
"xgboost","Extreme Gradient Boosting","59.92","6118","77.81","-0.0302","0.1608","0.1268","0.056"
"gbr","Gradient Boosting Regressor","59.85","6119","77.81","-0.0304","0.1609","0.1268","0.061"
"ridge","Ridge Regression","59.92","6130","77.88","-0.0322","0.161","0.127","0.025"
"ada","AdaBoost Regressor","59.99","6119","77.86","-0.033","0.1607","0.1265","0.043"
"rf","Random Forest Regressor","59.93","6138","77.93","-0.0333","0.1612","0.127","0.084"
"en","Elastic Net","59.95","6139","77.94","-0.0337","0.1612","0.127","0.022"
"lar","Least Angle Regression","59.96","6140","77.94","-0.0338","0.1612","0.1271","0.021"
"llar","Lasso Least Angle Regression","59.96","6140","77.94","-0.0338","0.1612","0.1271","0.026"
"omp","Orthogonal Matching Pursuit","59.96","6140","77.94","-0.0338","0.1612","0.1271","0.02"
"br","Bayesian Ridge","59.96","6140","77.94","-0.0338","0.1612","0.1271","0.025"
"lr","Linear Regression","59.96","6140","77.94","-0.0338","0.1612","0.1271","0.023"
"lasso","Lasso Regression","59.96","6140","77.94","-0.0338","0.1612","0.1271","0.026"
"dummy","Dummy Regressor","59.96","6140","77.94","-0.0338","0.1612","0.1271","0.019"
"dt","Decision Tree Regressor","60.01","6151","78.01","-0.0354","0.1613","0.1271","0.025"
"par","Passive Aggressive Regressor","91.03","1.284e+04","108.8","-1.486","0.2175","0.2008","0.03"



= = = = = USA Housing = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"huber","Huber Regressor","1.853e+05","5.308e+10","2.303e+05","0.5643","0.2234","0.1815","0.029"
"knn","K Neighbors Regressor","2.774e+05","1.203e+11","3.466e+05","0.0145","0.3233","0.2811","0.034"
"par","Passive Aggressive Regressor","2.839e+05","1.205e+11","3.378e+05","0.0097","0.3137","0.2839","0.026"
"et","Extra Trees Regressor","2.789e+05","1.217e+11","3.488e+05","0.0024","0.3253","0.2833","0.189"
"lightgbm","Light Gradient Boosting Machine","2.793e+05","1.222e+11","3.494e+05","-0.0013","0.3258","0.2837","0.133"
"xgboost","Extreme Gradient Boosting","2.793e+05","1.222e+11","3.495e+05","-0.0017","0.3258","0.2836","0.07"
"gbr","Gradient Boosting Regressor","2.793e+05","1.222e+11","3.495e+05","-0.0018","0.326","0.2839","0.223"
"br","Bayesian Ridge","2.794e+05","1.224e+11","3.497e+05","-0.0028","0.3261","0.2839","0.022"
"lar","Least Angle Regression","2.794e+05","1.224e+11","3.497e+05","-0.0028","0.3261","0.2839","0.02"
"en","Elastic Net","2.794e+05","1.224e+11","3.497e+05","-0.0028","0.3261","0.2839","0.024"
"rf","Random Forest Regressor","2.794e+05","1.224e+11","3.497e+05","-0.0028","0.3261","0.2839","0.344"
"ridge","Ridge Regression","2.794e+05","1.224e+11","3.497e+05","-0.0028","0.3261","0.2839","0.022"
"omp","Orthogonal Matching Pursuit","2.794e+05","1.224e+11","3.497e+05","-0.0028","0.3261","0.2839","0.025"
"llar","Lasso Least Angle Regression","2.794e+05","1.224e+11","3.497e+05","-0.0028","0.3261","0.2839","0.026"
"lasso","Lasso Regression","2.794e+05","1.224e+11","3.497e+05","-0.0028","0.3261","0.2839","0.023"
"lr","Linear Regression","2.794e+05","1.224e+11","3.497e+05","-0.0028","0.3261","0.2839","0.018"
"dummy","Dummy Regressor","2.794e+05","1.224e+11","3.497e+05","-0.0028","0.3261","0.2839","0.019"
"dt","Decision Tree Regressor","2.795e+05","1.224e+11","3.497e+05","-0.0031","0.3261","0.284","0.03"
"ada","AdaBoost Regressor","2.804e+05","1.23e+11","3.505e+05","-0.0077","0.3258","0.2831","0.064"
