= = = = = = = = = = = = = = = = = = = = = = = = = = = =
= = = = = Regression Benchmarks for Datasets (Part 2) = = = = =
= = = = = = = = = = = = = = = = = = = = = = = = = = = =



= = = = = Group 1 High Row-to-Size Cohort = = = = =
= = = = =  (Computational Efficiency) = = = = =


= = = = = Electric Vehicle Population Data = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"llar","Lasso Least Angle Regression","2.423e+04","7.784e+08","2.789e+04","-0.0318","0.7465","0.9654","0.041"
"lr","Linear Regression","2.423e+04","7.785e+08","2.789e+04","-0.0319","0.7465","0.9654","0.035"
"lar","Least Angle Regression","2.423e+04","7.787e+08","2.789e+04","-0.0321","0.7466","0.9655","0.034"
"gbr","Gradient Boosting Regressor","2.413e+04","7.873e+08","2.804e+04","-0.0426","0.7466","0.9574","0.094"
"rf","Random Forest Regressor","2.431e+04","7.976e+08","2.822e+04","-0.0565","0.7498","0.9647","0.239"
"huber","Huber Regressor","2.442e+04","7.987e+08","2.825e+04","-0.0587","0.7559","0.9909","0.038"
"lightgbm","Light Gradient Boosting Machine","2.475e+04","8.499e+08","2.913e+04","-0.1262","0.7634","0.9732","0.145"
"et","Extra Trees Regressor","2.498e+04","8.55e+08","2.923e+04","-0.1331","0.7643","0.9852","0.171"
"knn","K Neighbors Regressor","2.535e+04","9.036e+08","3.004e+04","-0.197","0.7729","0.9847","0.042"
"xgboost","Extreme Gradient Boosting","2.554e+04","9.404e+08","3.062e+04","-0.2443","0.7844","0.9735","0.057"
"par","Passive Aggressive Regressor","2.872e+04","1.246e+09","3.448e+04","-0.6367","0.84","1.143","0.033"
"dt","Decision Tree Regressor","3.229e+04","1.558e+09","3.944e+04","-1.069","1.018","1.154","0.034"



= = = = = Fish Dataset = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"gbr","Gradient Boosting Regressor","31.64","2426","45.71","0.9762","0.2735","0.1234","0.025"
"et","Extra Trees Regressor","32.29","2507","49.19","0.9714","0.2907","0.1291","0.047"
"dt","Decision Tree Regressor","43.39","4112","61.38","0.9584","0.3518","0.1836","0.012"
"rf","Random Forest Regressor","39.5","4133","59.41","0.9556","0.3013","0.1351","0.058"
"xgboost","Extreme Gradient Boosting","38.73","4550","60.11","0.9535","0.3141","0.147","0.02"
"ada","AdaBoost Regressor","48.59","6843","74.01","0.9359","0.6624","0.6654","0.028"
"lr","Linear Regression","71.24","1.11e+04","101.3","0.886","0.7911","1.327","0.014"
"lasso","Lasso Regression","70.61","1.117e+04","101.5","0.8835","0.7516","1.322","0.011"
"llar","Lasso Least Angle Regression","70.81","1.119e+04","101.6","0.8834","0.7643","1.327","0.014"
"ridge","Ridge Regression","72.64","1.15e+04","102.7","0.8797","0.7285","1.374","0.013"
"huber","Huber Regressor","67.73","1.592e+04","109.5","0.8788","0.6422","1.002","0.016"
"br","Bayesian Ridge","72.74","1.171e+04","103.6","0.8779","0.72","1.373","0.015"
"lightgbm","Light Gradient Boosting Machine","67.81","1.466e+04","107.3","0.8637","0.5151","0.3696","0.064"
"knn","K Neighbors Regressor","57.31","1.476e+04","104.8","0.8323","0.3129","0.1513","0.016"
"en","Elastic Net","94.4","1.595e+04","123","0.8216","0.9321","2.145","0.018"
"omp","Orthogonal Matching Pursuit","107.2","1.942e+04","136.5","0.7626","0.9477","1.969","0.012"
"dummy","Dummy Regressor","282.9","1.187e+05","335.7","-0.0963","1.487","5.202","0.012"
"par","Passive Aggressive Regressor","259.9","1.327e+05","339.7","-0.7944","0.9776","1.704","0.017"
"lar","Least Angle Regression","673.1","8.171e+05","874.1","-7.479","1.85","9.349","0.013"



= = = = = Salary Data Data - Simple Linear Regression = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"ada","AdaBoost Regressor","6086","6.359e+07","6574","-0.0046","0.0972","0.0844","0.02"
"rf","Random Forest Regressor","6071","5.625e+07","6510","-0.1536","0.0975","0.0867","0.046"
"gbr","Gradient Boosting Regressor","7140","7.394e+07","7545","-0.3143","0.1131","0.1021","0.016"
"dt","Decision Tree Regressor","7358","8.601e+07","7821","-0.3698","0.1215","0.1054","0.006"
"xgboost","Extreme Gradient Boosting","7543","8.583e+07","7912","-0.3749","0.1267","0.1094","0.014"
"et","Extra Trees Regressor","6966","6.399e+07","7359","-0.5972","0.1146","0.1032","0.03"
"knn","K Neighbors Regressor","6215","6.275e+07","6597","-1.477","0.0969","0.0922","0.01"
"lr","Linear Regression","5957","5.623e+07","6295","-1.896","0.0996","0.0919","0.006"
"lar","Least Angle Regression","5957","5.623e+07","6295","-1.896","0.0996","0.0919","0.006"
"llar","Lasso Least Angle Regression","5957","5.622e+07","6295","-1.897","0.0996","0.0919","0.008"
"lasso","Lasso Regression","5957","5.623e+07","6295","-1.898","0.0996","0.0919","0.008"
"huber","Huber Regressor","6161","5.661e+07","6453","-2.146","0.1024","0.0956","0.007"
"ridge","Ridge Regression","5861","5.333e+07","6270","-2.157","0.1007","0.0927","0.008"
"br","Bayesian Ridge","6095","5.918e+07","6487","-2.423","0.1035","0.0953","0.008"
"en","Elastic Net","6378","6.045e+07","6914","-3.157","0.1109","0.102","0.007"
"omp","Orthogonal Matching Pursuit","7009","7.737e+07","7708","-4.365","0.1241","0.1129","0.007"
"par","Passive Aggressive Regressor","1.295e+04","3.271e+08","1.539e+04","-12.77","0.5647","0.2552","0.007"
"lightgbm","Light Gradient Boosting Machine","2.37e+04","7.245e+08","2.565e+04","-13.68","0.3575","0.3723","0.04"
"dummy","Dummy Regressor","2.37e+04","7.245e+08","2.565e+04","-13.68","0.3575","0.3723","0.006"
